obsnme,obsval,weight,obgnme,datetime
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:1.0,1013.321604927737,1.0,hds001_004_004,20200102
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:100.7605413847,1013.413630645906,1.0,hds001_004_004,20200410
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:104.5309323339,1013.41778427852,1.0,hds001_004_004,20200414
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:109.0554014729,1013.422767918866,1.0,hds001_004_004,20200419
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:11.08589276419,1013.320993541219,1.0,hds001_004_004,20200112
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:114.4847644398,1013.428747246361,1.0,hds001_004_004,20200424
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:121.0,1013.435920929032,1.0,hds001_004_004,20200501
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:122.8788920947,1013.435806999253,1.0,hds001_004_004,20200502
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:125.1335626083,1013.435670272536,1.0,hds001_004_004,20200505
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:127.8391672246,1013.435506183692,1.0,hds001_004_004,20200507
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:131.0858927642,1013.435309273202,1.0,hds001_004_004,20200511
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:134.9819634117,1013.435072945852,1.0,hds001_004_004,20200514
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:139.6572481887,1013.434789297541,1.0,hds001_004_004,20200519
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:14.98196341169,1013.320757359718,1.0,hds001_004_004,20200115
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:145.2675899211,1013.434448829879,1.0,hds001_004_004,20200525
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:152.0,1013.434040121949,1.0,hds001_004_004,20200601
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:153.8182826723,1013.433401674645,1.0,hds001_004_004,20200602
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:156.000221879,1013.43263550831,1.0,hds001_004_004,20200605
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:158.618548927,1013.431716065066,1.0,hds001_004_004,20200607
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:161.7605413847,1013.430612668473,1.0,hds001_004_004,20200610
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:165.5309323339,1013.429288496161,1.0,hds001_004_004,20200614
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:170.0554014729,1013.427699344935,1.0,hds001_004_004,20200619
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:175.4847644398,1013.425792145671,1.0,hds001_004_004,20200624
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:182.0,1013.423503176048,1.0,hds001_004_004,20200701
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:183.8788920947,1013.422351781892,1.0,hds001_004_004,20200702
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:186.1335626083,1013.420970035948,1.0,hds001_004_004,20200705
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:188.8391672246,1013.419311834559,1.0,hds001_004_004,20200707
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:19.6572481887,1013.320473934906,1.0,hds001_004_004,20200120
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:192.0858927642,1013.417321837822,1.0,hds001_004_004,20200711
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:195.9819634117,1013.414933614914,1.0,hds001_004_004,20200714
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:2.878892094669,1013.32149103578,1.0,hds001_004_004,20200103
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:200.6572481887,1013.412067414816,1.0,hds001_004_004,20200719
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:206.2675899211,1013.40862748566,1.0,hds001_004_004,20200725
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:213.0,1013.404498849677,1.0,hds001_004_004,20200801
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:214.8788920947,1013.403346513496,1.0,hds001_004_004,20200802
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:217.1335626083,1013.401963628061,1.0,hds001_004_004,20200805
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:219.8391672246,1013.400304046392,1.0,hds001_004_004,20200807
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:223.0858927642,1013.398312375062,1.0,hds001_004_004,20200811
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:226.9819634117,1013.395922116935,1.0,hds001_004_004,20200814
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:231.6572481887,1013.393053438666,1.0,hds001_004_004,20200819
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:237.2675899211,1013.389610486116,1.0,hds001_004_004,20200825
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:244.0,1013.385478154687,1.0,hds001_004_004,20200901
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:245.8182826723,1013.384361988893,1.0,hds001_004_004,20200902
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:248.000221879,1013.383022506346,1.0,hds001_004_004,20200905
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:25.26758992111,1013.320133815067,1.0,hds001_004_004,20200126
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:250.618548927,1013.381415006225,1.0,hds001_004_004,20200907
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:253.7605413847,1013.379485830609,1.0,hds001_004_004,20200910
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:257.5309323339,1013.377170565337,1.0,hds001_004_004,20200914
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:262.0554014729,1013.374391877506,1.0,hds001_004_004,20200919
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:267.4847644398,1013.371056915374,1.0,hds001_004_004,20200924
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:274.0,1013.367054180933,1.0,hds001_004_004,20201001
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:275.8788920947,1013.365899738722,1.0,hds001_004_004,20201002
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:278.1335626083,1013.364514314157,1.0,hds001_004_004,20201005
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:280.8391672246,1013.362851669028,1.0,hds001_004_004,20201007
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:284.0858927642,1013.360856298874,1.0,hds001_004_004,20201011
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:287.9819634117,1013.358461571453,1.0,hds001_004_004,20201014
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:292.6572481887,1013.355587489245,1.0,hds001_004_004,20201019
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:298.2675899211,1013.352137999311,1.0,hds001_004_004,20201025
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:305.0,1013.347997757931,1.0,hds001_004_004,20201101
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:306.8182826723,1013.346879451031,1.0,hds001_004_004,20201102
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:309.000221879,1013.345537392995,1.0,hds001_004_004,20201105
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:311.618548927,1013.343926794056,1.0,hds001_004_004,20201107
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:314.7605413847,1013.341993889126,1.0,hds001_004_004,20201110
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:318.5309323339,1013.339674135168,1.0,hds001_004_004,20201114
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:32.0,1013.319725656861,1.0,hds001_004_004,20200202
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:323.0554014729,1013.336890044845,1.0,hds001_004_004,20201119
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:328.4847644398,1013.333548582465,1.0,hds001_004_004,20201124
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:33.69706382744,1013.321600682689,1.0,hds001_004_004,20200203
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:335.0,1013.329538033058,1.0,hds001_004_004,20201201
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:336.8788920947,1013.328873889331,1.0,hds001_004_004,20201202
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:339.1335626083,1013.328076845246,1.0,hds001_004_004,20201205
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:341.8391672246,1013.327120367882,1.0,hds001_004_004,20201207
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:345.0858927642,1013.325972466539,1.0,hds001_004_004,20201211
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:348.9819634117,1013.324594801032,1.0,hds001_004_004,20201214
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:35.73354042038,1013.32385057146,1.0,hds001_004_004,20200205
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:353.6572481887,1013.322941339858,1.0,hds001_004_004,20201219
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:359.2675899211,1013.320956812724,1.0,hds001_004_004,20201225
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:366.0,1013.318574850518,0.0,hds001_004_004,20210101
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:367.8788920947,1013.275258217844,0.0,hds001_004_004,20210102
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:370.1335626083,1013.224091737072,0.0,hds001_004_004,20210105
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:372.8391672246,1013.163836207603,0.0,hds001_004_004,20210107
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:376.0858927642,1013.093131769268,0.0,hds001_004_004,20210111
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:379.9819634117,1013.010517776349,0.0,hds001_004_004,20210114
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:38.17731233189,1013.326550233207,1.0,hds001_004_004,20200208
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:384.6572481887,1012.914468671254,0.0,hds001_004_004,20210119
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:390.2675899211,1012.803450269564,0.0,hds001_004_004,20210125
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:397.0,1012.676000407824,0.0,hds001_004_004,20210201
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:398.6970638274,1012.646206606622,0.0,hds001_004_004,20210202
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:400.7335404204,1012.610973080259,0.0,hds001_004_004,20210204
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:403.1773123319,1012.569424874422,0.0,hds001_004_004,20210207
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:406.1098386257,1012.520595285363,0.0,hds001_004_004,20210210
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:409.6288701783,1012.463437238178,0.0,hds001_004_004,20210213
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:41.10983862572,1013.329789532453,1.0,hds001_004_004,20200211
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:413.8517080414,1012.396845708653,0.0,hds001_004_004,20210217
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:418.9191134771,1012.31969478146,0.0,hds001_004_004,20210222
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:425.0,1012.230893047284,0.0,hds001_004_004,20210301
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:426.8788920947,1012.204915717704,0.0,hds001_004_004,20210302
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:429.1335626083,1012.174248983564,0.0,hds001_004_004,20210305
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:431.8391672246,1012.138161444816,0.0,hds001_004_004,20210307
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:435.0858927642,1012.0958553244,0.0,hds001_004_004,20210311
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:438.9819634117,1012.046481210045,0.0,hds001_004_004,20210314
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:44.6288701783,1013.333676266992,1.0,hds001_004_004,20200214
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:443.6572481887,1011.98916367518,0.0,hds001_004_004,20210319
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:449.2675899211,1011.923040985096,0.0,hds001_004_004,20210325
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:456.0,1011.847322024629,0.0,hds001_004_004,20210401
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:457.8182826723,1011.826007380607,0.0,hds001_004_004,20210402
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:460.000221879,1011.800798036702,0.0,hds001_004_004,20210405
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:462.618548927,1011.771065996515,0.0,hds001_004_004,20210407
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:465.7605413847,1011.736116561143,0.0,hds001_004_004,20210410
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:469.5309323339,1011.695195974106,0.0,hds001_004_004,20210414
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:474.0554014729,1011.647506767403,0.0,hds001_004_004,20210419
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:479.4847644398,1011.592233326465,0.0,hds001_004_004,20210424
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:48.85170804141,1013.338339737069,1.0,hds001_004_004,20200218
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:486.0,1011.528580278711,0.0,hds001_004_004,20210501
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:487.8788920947,1011.508117945384,0.0,hds001_004_004,20210502
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:490.1335626083,1011.483870412811,0.0,hds001_004_004,20210505
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:492.8391672246,1011.45520659033,0.0,hds001_004_004,20210507
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:496.0858927642,1011.421418315718,0.0,hds001_004_004,20210511
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:499.9819634117,1011.381722459745,0.0,hds001_004_004,20210514
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:5.133562608273,1013.321354363801,1.0,hds001_004_004,20200106
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:504.6572481887,1011.335268615083,0.0,hds001_004_004,20210519
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:510.2675899211,1011.281154317563,0.0,hds001_004_004,20210525
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:517.0,1011.218449804771,0.0,hds001_004_004,20210601
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:518.8182826723,1011.201098163243,0.0,hds001_004_004,20210602
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:521.000221879,1011.180503481348,0.0,hds001_004_004,20210605
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:523.618548927,1011.15611076214,0.0,hds001_004_004,20210607
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:526.7605413847,1011.127290844652,0.0,hds001_004_004,20210610
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:53.91911347713,1013.343935020607,1.0,hds001_004_004,20200223
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:530.5309323339,1011.093338911367,0.0,hds001_004_004,20210614
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:535.0554014729,1011.053476772779,0.0,hds001_004_004,20210619
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:540.4847644398,1011.00686044574,0.0,hds001_004_004,20210624
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:547.0,1010.952594663923,0.0,hds001_004_004,20210701
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:548.8788920947,1010.936543204459,0.0,hds001_004_004,20210702
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:551.1335626083,1010.917475660587,0.0,hds001_004_004,20210705
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:553.8391672246,1010.894868827253,0.0,hds001_004_004,20210707
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:557.0858927642,1010.868126362625,0.0,hds001_004_004,20210711
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:560.9819634117,1010.836575586655,0.0,hds001_004_004,20210714
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:565.6572481887,1010.799467143875,0.0,hds001_004_004,20210719
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:571.2675899211,1010.75597877048,0.0,hds001_004_004,20210725
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:578.0,1010.705224508567,0.0,hds001_004_004,20210801
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:579.8788920947,1010.691161432744,0.0,hds001_004_004,20210802
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:582.1335626083,1010.674442057262,0.0,hds001_004_004,20210805
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:584.8391672246,1010.654599696255,0.0,hds001_004_004,20210807
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:588.0858927642,1010.631099872874,0.0,hds001_004_004,20210811
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:591.9819634117,1010.603336109186,0.0,hds001_004_004,20210814
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:596.6572481887,1010.570627798683,0.0,hds001_004_004,20210819
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:60.0,1013.350648092137,1.0,hds001_004_004,20200301
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:602.2675899211,1010.532221176722,0.0,hds001_004_004,20210825
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:609.0,1010.487294519433,0.0,hds001_004_004,20210901
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:61.87889209467,1013.353815909262,1.0,hds001_004_004,20200302
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:610.8182826723,1010.475237822459,0.0,hds001_004_004,20210902
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:613.000221879,1010.46088874483,0.0,hds001_004_004,20210905
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:615.618548927,1010.443838180709,0.0,hds001_004_004,20210907
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:618.7605413847,1010.423614892127,0.0,hds001_004_004,20210910
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:622.5309323339,1010.399680394881,0.0,hds001_004_004,20210914
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:627.0554014729,1010.371425182402,0.0,hds001_004_004,20210919
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:632.4847644398,1010.33816708964,0.0,hds001_004_004,20210924
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:639.0,1010.299152734993,0.0,hds001_004_004,20211001
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:64.13356260827,1013.357616890523,1.0,hds001_004_004,20200305
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:640.8788920947,1010.287969888932,0.0,hds001_004_004,20211002
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:643.1335626083,1010.27465504426,0.0,hds001_004_004,20211005
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:645.8391672246,1010.25882522714,0.0,hds001_004_004,20211007
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:649.0858927642,1010.240038207098,0.0,hds001_004_004,20211011
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:652.9819634117,1010.217787099508,0.0,hds001_004_004,20211014
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:657.6572481887,1010.191495983237,0.0,hds001_004_004,20211019
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:66.8391672246,1013.362177493071,1.0,hds001_004_004,20200307
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:663.2675899211,1010.160517219468,0.0,hds001_004_004,20211025
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:670.0,1010.124131281849,0.0,hds001_004_004,20211101
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:671.8182826723,1010.11435664456,0.0,hds001_004_004,20211102
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:674.000221879,1010.102708012721,0.0,hds001_004_004,20211105
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:676.618548927,1010.088844344975,0.0,hds001_004_004,20211107
