parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y,zone,parval1_trans,parlbnd_trans,parubnd_trans
pname:npf_k_inst:0_ptype:cn_pstyle:m,log,factor,1.0,0.5,2.0,npf_cn,1.0,0.0,1,,0,,npf,m,cn,,,,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:2_j:2_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,2,1,2,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:2_j:6_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,2,1,6,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:6_j:2_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,6,1,2,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:6_j:6_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,6,1,6,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:10_j:2_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,10,1,2,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:10_j:6_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,10,1,6,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:14_j:2_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,14,1,2,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:14_j:6_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,14,1,6,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
pname:npf_k_inst:1_ptype:pp_pstyle:m_i:18_j:2_zone:1,log,factor,1.0,0.5,2.0,npf_pp,1.0,0.0,1,18,1,2,npf,m,pp,,,1,0.0,-0.3010299956639812,0.3010299956639812
