iteration,total_runs,obs_realization,par_realization,hds001_004_004,hds001_010_004
0,200,0,0,333.794,918.984
0,200,1,1,233.919,355.645
0,200,2,2,9.50488,83.3152
0,200,3,3,18.8043,49.6229
0,200,4,4,8.40733,42.2571
0,200,5,5,0.700908,30.0429
0,200,6,6,1.69748,268.06
0,200,7,7,217.602,532.644
0,200,8,8,316.066,679.703
0,200,9,9,1043.59,2812.23
0,200,10,10,975.671,2672.21
0,200,11,11,180.563,247.984
0,200,12,12,200.769,280.511
0,200,13,13,21.6022,31.3049
0,200,14,14,688.309,2506.15
0,200,15,15,11.7047,48.6006
0,200,16,16,3.7119,0.0734323
0,200,17,17,111.931,477.112
0,200,18,18,163.084,117.946
0,200,19,19,3617.87,5561.12
0,200,20,20,616.129,577.905
0,200,21,21,39.3174,136
0,200,22,22,107.839,392.169
0,200,23,23,429.985,344.358
0,200,24,24,146.347,420.705
0,200,25,25,1136.95,984.848
0,200,26,26,521.659,1378.1
0,200,27,27,17.9522,4.74009
0,200,28,28,91.659,341.504
0,200,29,29,2209.29,5880.62
0,200,30,30,81.6354,28.3703
0,200,31,31,2.48686,3.47913
0,200,32,32,423.938,656.008
0,200,33,33,1936.25,3353.24
0,200,34,34,1051.05,2154.48
0,200,35,35,863.275,1427.53
0,200,36,36,408.894,536.081
0,200,37,37,1805.33,3351.63
0,200,38,38,23.8796,134.04
0,200,39,39,507.392,842.205
0,200,40,40,13.8223,47.8295
0,200,41,41,857.427,1859.04
0,200,42,42,432.917,1124.21
0,200,43,43,46.5846,68.6361
0,200,44,44,5.03222,50.5541
0,200,45,45,207.324,603.867
0,200,46,46,587.367,530.885
0,200,47,47,24.0242,0.0315843
0,200,48,48,1472.81,3896.51
0,200,49,49,189.456,467.513
0,200,50,50,21.1468,2.82196
0,200,51,51,27.6345,2.38946
0,200,52,52,527.505,1103.87
0,200,53,53,186.775,438.427
0,200,54,54,29.8841,51.4156
0,200,55,55,896.548,1082.21
0,200,56,56,3781.37,4474.26
0,200,57,57,806.691,1682.22
0,200,58,58,739.979,1296.48
0,200,59,59,1283.31,1527.59
0,200,60,60,12.5053,24.0716
0,200,61,61,1581.42,2593.99
0,200,62,62,53.2639,244.329
0,200,63,63,267.124,340.563
0,200,64,64,156.949,118.822
0,200,65,65,5.24657,0.00970089
0,200,66,66,24.1273,2.48602
0,200,67,67,566.021,446.74
0,200,68,68,1833.7,2906.41
0,200,69,69,15.7764,101.686
0,200,70,70,393.12,1002.29
0,200,71,71,94.4554,62.0368
0,200,72,72,2.58548,2.03265
0,200,73,73,1338.58,2563.76
0,200,74,74,430.798,929.257
0,200,75,75,157.191,282.269
0,200,76,76,134.158,298.768
0,200,77,77,63.7031,1.55337
0,200,78,78,322.399,134.713
0,200,79,79,626.935,1171.86
0,200,80,80,934.54,2341.06
0,200,81,81,207.045,304.652
0,200,82,82,844.498,2626.91
0,200,83,83,746.341,2503.71
0,200,84,84,2128.51,3173.12
0,200,85,85,1064.68,2206.67
0,200,86,86,22.0002,91.8707
0,200,87,87,123.981,40.5454
0,200,88,88,351.979,855.622
0,200,89,89,211.635,364.301
0,200,90,90,427.853,1297.67
0,200,91,91,266.941,256.356
0,200,92,92,90.0056,58.5747
0,200,93,93,240.38,422.828
0,200,94,94,0.630187,37.7564
0,200,95,95,29.9812,79.9229
0,200,96,96,691.786,1260.93
0,200,97,97,201.291,260.096
0,200,98,98,84.1704,280.898
0,200,99,99,173.697,230.122
0,200,100,100,73.3591,202.445
0,200,101,101,518.092,680.637
0,200,102,102,0.188844,2.14549
0,200,103,103,156.318,207.847
0,200,104,104,285.157,453.398
0,200,105,105,60.0421,192.914
0,200,106,106,58.3443,32.9039
0,200,107,107,126.359,274.793
0,200,108,108,60.7148,3.75978
0,200,109,109,1681.54,2479.45
0,200,110,110,700.534,1408.17
0,200,111,111,2.3388,29.489
0,200,112,112,825.962,1498.37
0,200,113,113,53.596,25.7008
0,200,114,114,3.29229,118.373
0,200,115,115,116.268,173.156
0,200,116,116,547.767,505.134
0,200,117,117,4.74973,117.092
0,200,118,118,1123.2,2499.36
