time,HDS001_010_004,HDS001_004_004
1.000000000000,1018.831798082300,1013.321604927737
2.878892094669,1018.831699961575,1013.321491035780
5.133562608273,1018.831582215829,1013.321354363801
7.839167224597,1018.831440919673,1013.321190355075
11.08589276419,1018.831271362469,1013.320993541219
14.98196341169,1018.831067891207,1013.320757359718
19.65724818870,1018.830823721924,1013.320473934906
25.26758992111,1018.830530713356,1013.320133815067
32.00000000000,1018.830179095254,1013.319725656861
33.69706382744,1018.831794735015,1013.321600682689
35.73354042038,1018.833733414767,1013.323850571460
38.17731233189,1018.836059703824,1013.326550233207
41.10983862572,1018.838851068355,1013.329789532453
44.62887017830,1018.842200443282,1013.333676266992
48.85170804141,1018.846219315276,1013.338339737069
53.91911347713,1018.851041417637,1013.343935020607
60.00000000000,1018.856827157356,1013.350648092137
61.87889209467,1018.859557449563,1013.353815909262
64.13356260827,1018.862833550654,1013.357616890523
66.83916722460,1018.866764512690,1013.362177493071
70.08589276419,1018.871481149935,1013.367649388144
73.98196341169,1018.877140370131,1013.374214469763
78.65724818870,1018.883930362757,1013.382090849983
84.26758992111,1018.892076811593,1013.391540031139
91.00000000000,1018.901850330663,1013.402875480214
92.81828267226,1018.903578213542,1013.404879324392
95.00022187897,1018.905651572555,1013.407283772189
97.61854892703,1018.908139458759,1013.410168871185
100.7605413847,1018.911124714000,1013.413630645906
104.5309323339,1018.914706720546,1013.417784278520
109.0554014729,1018.919004696887,1013.422767918866
114.4847644398,1018.924161647325,1013.428747246361
121.0000000000,1018.930349093723,1013.435920929032
122.8788920947,1018.930251146205,1013.435806999253
125.1335626083,1018.930133608288,1013.435670272536
127.8391672246,1018.929992561498,1013.435506183692
131.0858927642,1018.929823310971,1013.435309273202
134.9819634117,1018.929620209464,1013.435072945852
139.6572481887,1018.929376486394,1013.434789297541
145.2675899211,1018.929084016900,1013.434448829879
152.0000000000,1018.928733050902,1013.434040121949
153.8182826723,1018.928182876449,1013.433401674645
156.0002218790,1018.927522657550,1013.432635508310
158.6185489270,1018.926730381110,1013.431716065066
161.7605413847,1018.925779629567,1013.430612668473
165.5309323339,1018.924638699180,1013.429288496161
170.0554014729,1018.923269541625,1013.427699344935
175.4847644398,1018.921626493384,1013.425792145671
182.0000000000,1018.919654750282,1013.423503176048
183.8788920947,1018.918662503066,1013.422351781892
186.1335626083,1018.917471774749,1013.420970035948
188.8391672246,1018.916042855175,1013.419311834559
192.0858927642,1018.914328086027,1013.417321837822
195.9819634117,1018.912270268492,1013.414933614914
200.6572481887,1018.909800751269,1013.412067414816
206.2675899211,1018.906837134473,1013.408627485660
213.0000000000,1018.903280511840,1013.404498849677
214.8788920947,1018.902287867793,1013.403346513496
217.1335626083,1018.901096663248,1013.401963628061
219.8391672246,1018.899667172158,1013.400304046392
223.0858927642,1018.897951717129,1013.398312375062
226.9819634117,1018.895893076446,1013.395922116935
231.6572481887,1018.893422571318,1013.393053438666
237.2675899211,1018.890457768850,1013.389610486116
244.0000000000,1018.886899723147,1013.385478154687
245.8182826723,1018.885938715841,1013.384361988893
248.0002218790,1018.884785477367,1013.383022506346
250.6185489270,1018.883401548419,1013.381415006225
253.7605413847,1018.881740772075,1013.379485830609
257.5309323339,1018.879747751741,1013.377170565337
262.0554014729,1018.877355999566,1013.374391877506
267.4847644398,1018.874485712935,1013.371056915374
274.0000000000,1018.871041103944,1013.367054180933
275.8788920947,1018.870047677918,1013.365899738722
278.1335626083,1018.868855534938,1013.364514314157
280.8391672246,1018.867424917643,1013.362851669028
284.0858927642,1018.865708111047,1013.360856298874
287.9819634117,1018.863647848310,1013.358461571453
292.6572481887,1018.861175396466,1013.355587489245
298.2675899211,1018.858208257581,1013.352137999311
305.0000000000,1018.854647407661,1013.347997757931
306.8182826723,1018.853685642875,1013.346879451031
