obsnme,obsval,weight,obgnme,datetime
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:1.0,1007.457974353891,1.0,hds001_004_004,20200102
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:100.7605413847,1007.513490781135,1.0,hds001_004_004,20200410
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:104.5309323339,1007.515997555601,1.0,hds001_004_004,20200414
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:109.0554014729,1007.519005367115,1.0,hds001_004_004,20200419
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:11.08589276419,1007.457605850521,1.0,hds001_004_004,20200112
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:114.4847644398,1007.522614279605,1.0,hds001_004_004,20200424
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:121.0,1007.526944303222,1.0,hds001_004_004,20200501
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:122.8788920947,1007.526875637908,1.0,hds001_004_004,20200502
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:125.1335626083,1007.5267932334,1.0,hds001_004_004,20200505
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:127.8391672246,1007.526694338577,1.0,hds001_004_004,20200507
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:131.0858927642,1007.526575650178,1.0,hds001_004_004,20200511
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:134.9819634117,1007.526433201164,1.0,hds001_004_004,20200514
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:139.6572481887,1007.526262225901,1.0,hds001_004_004,20200519
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:14.98196341169,1007.457463497072,1.0,hds001_004_004,20200115
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:145.2675899211,1007.526056996939,1.0,hds001_004_004,20200525
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:152.0,1007.525810664789,1.0,hds001_004_004,20200601
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:153.8182826723,1007.525425405711,1.0,hds001_004_004,20200602
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:156.000221879,1007.52496307592,1.0,hds001_004_004,20200605
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:158.618548927,1007.52440825229,1.0,hds001_004_004,20200607
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:161.7605413847,1007.52374246092,1.0,hds001_004_004,20200610
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:165.5309323339,1007.522943459118,1.0,hds001_004_004,20200614
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:170.0554014729,1007.521984578365,1.0,hds001_004_004,20200619
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:175.4847644398,1007.520833802248,1.0,hds001_004_004,20200624
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:182.0,1007.5194526888,1.0,hds001_004_004,20200701
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:183.8788920947,1007.518757904605,1.0,hds001_004_004,20200702
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:186.1335626083,1007.517924126782,1.0,hds001_004_004,20200705
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:188.8391672246,1007.516923539672,1.0,hds001_004_004,20200707
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:19.6572481887,1007.457292669567,1.0,hds001_004_004,20200120
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:192.0858927642,1007.515722756505,1.0,hds001_004_004,20200711
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:195.9819634117,1007.51428170129,1.0,hds001_004_004,20200714
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:2.878892094669,1007.457905707031,1.0,hds001_004_004,20200103
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:200.6572481887,1007.512552265126,1.0,hds001_004_004,20200719
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:206.2675899211,1007.510476690813,1.0,hds001_004_004,20200725
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:213.0,1007.507985629916,1.0,hds001_004_004,20200801
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:214.8788920947,1007.507290347673,1.0,hds001_004_004,20200802
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:217.1335626083,1007.506455990994,1.0,hds001_004_004,20200805
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:219.8391672246,1007.505454701277,1.0,hds001_004_004,20200807
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:223.0858927642,1007.504253063677,1.0,hds001_004_004,20200811
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:226.9819634117,1007.502810967218,1.0,hds001_004_004,20200814
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:231.6572481887,1007.501080259311,1.0,hds001_004_004,20200819
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:237.2675899211,1007.499003128174,1.0,hds001_004_004,20200825
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:244.0,1007.496510157308,1.0,hds001_004_004,20200901
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:245.8182826723,1007.495836785815,1.0,hds001_004_004,20200902
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:248.000221879,1007.49502871916,1.0,hds001_004_004,20200905
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:25.26758992111,1007.457087671746,1.0,hds001_004_004,20200126
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:250.618548927,1007.494058975507,1.0,hds001_004_004,20200907
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:253.7605413847,1007.492895190734,1.0,hds001_004_004,20200910
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:257.5309323339,1007.491498514809,1.0,hds001_004_004,20200914
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:262.0554014729,1007.489822308598,1.0,hds001_004_004,20200919
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:267.4847644398,1007.487810577297,1.0,hds001_004_004,20200924
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:274.0,1007.485396086622,1.0,hds001_004_004,20201001
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:275.8788920947,1007.484699707687,1.0,hds001_004_004,20201002
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:278.1335626083,1007.483864027963,1.0,hds001_004_004,20201005
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:280.8391672246,1007.482861140335,1.0,hds001_004_004,20201007
oname:hds.csv_otype:lst_usecol:hds001_004_004_time:284.0858927642,1007.481657571145,1.0,hds001_004_004,20201011
